"tenant","mRID_Outage","mRID_Equipment","actualPeriodStart","actualPeriodEnd","cause","isTrippedEquipment","modifiedTimeStamp","rowState"
"SCE","122186365-2032938603","818362E:818362E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","830489E:830489E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","830489E:830489E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","830489E:830489E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","853406E:853406E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","854201E:854201E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","854201E:854201E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","854202E:854202E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","854202E:854202E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","854202E:854202E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","895393E:895393E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","895393E:895393E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","895393E:895393E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","895486E:895486E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","895486E:895486E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","895486E:895486E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","896129E:896129E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915659E:915659E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915659E:915659E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915662E:915662E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915667E:915667E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915668E:915668E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915674E:915674E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915674E:915674E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915676E:915676E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915676E:915676E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915679E:915679E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915696E:915696E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915950E:915950E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915950E:915950E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","915950E:915950E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","934847E:934847E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","957395E:957395E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","957593E:957593E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","957593E:957593E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","957593E:957593E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"

"SCE","122186365-2032938603","1170457E:1170457E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1663039E:1663039E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1663039E:1663039E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1663055E:1663055E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","269003E:269003E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","331344E:331344E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4037700E:4037700E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4037700E:4037700E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4037700E:4037700E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4067278E:4067278E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4067278E:4067278E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4237060E:4237060E",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4237060E:4237060E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4237060E:4237060E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T01:29:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
